Date,BTCUSD,ETHUSD,XRPUSD,LTCUSD
2020-01-23 11-AM,"8392,11",162,"0,2266","55,82"
2020-01-23 10-AM,8410,"162,6","0,2268","56,05"
2020-01-23 09-AM,"8401,61","162,88","0,2263","56,05"
2020-01-23 08-AM,8480,"163,32","0,228","56,34"
2020-01-23 07-AM,"8557,72","164,36","0,2305","56,55"
2020-01-23 06-AM,"8505,07","163,02","0,2287","55,94"
2020-01-23 05-AM,"8531,32","163,19","0,2299","56,23"
2020-01-23 04-AM,"8555,12","164,12","0,2307","56,5"
2020-01-23 03-AM,"8562,51","165,11","0,2308","56,74"
2020-01-23 02-AM,"8574,28","165,16","0,2316","57,01"
2020-01-23 01-AM,"8571,25","164,44","0,231","56,87"
2020-01-23 12-AM,"8636,11","166,69","0,2346","57,82"
2020-01-22 11-PM,"8655,93","167,81","0,2368","58,06"
2020-01-22 10-PM,"8629,03","167,05","0,235","57,99"
2020-01-22 09-PM,"8634,23","167,55","0,2353","58,07"
2020-01-22 08-PM,"8647,58","167,89","0,2355","58,21"
2020-01-22 07-PM,"8644,35","167,82","0,235","58,15"
2020-01-22 06-PM,"8641,26","167,51","0,2352","58,21"
2020-01-22 05-PM,8661,"167,25","0,2366","58,07"
2020-01-22 04-PM,"8651,98","168,47","0,2356","58,39"
2020-01-22 03-PM,"8631,66",167,"0,2349",58
2020-01-22 02-PM,"8635,05","166,46","0,2345","57,74"
2020-01-22 01-PM,"8622,38","166,18","0,2342","57,69"
2020-01-22 12-PM,"8641,22","167,67","0,2356","58,02"
2020-01-22 11-AM,"8637,5","167,82","0,2345","58,06"
2020-01-22 10-AM,"8644,47","168,08","0,2345","57,84"
2020-01-22 09-AM,"8665,21","168,73","0,2349","57,99"
2020-01-22 08-AM,8655,"167,82","0,2345","57,87"
2020-01-22 07-AM,"8719,71","168,95","0,2368","58,3"
2020-01-22 06-AM,"8731,16","169,5","0,238","58,44"
2020-01-22 05-AM,"8695,22","168,79","0,236","57,56"
2020-01-22 04-AM,"8716,89","169,25","0,2363","57,57"
2020-01-22 03-AM,"8694,68","168,5","0,2357","57,2"
2020-01-22 02-AM,"8695,71","168,35","0,2352","57,19"
2020-01-22 01-AM,"8706,9","168,72","0,2364","57,56"
2020-01-22 12-AM,"8728,48","169,57","0,2376","57,5"
